"Country or Area","Year","Item","Value"
"United States","1993","Mining, Manufacturing, Utilities (ISIC C-E)","1382055632750"
"United States","1993","Manufacturing (ISIC D)","1134106306176"
"United States","1993","Construction (ISIC F)","249930337079"
"United States","1993","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1026277819268"
"United States","1993","Transport, storage and communication (ISIC I)","627916891268"
"United States","1993","Other Activities (ISIC J-P)","3437986536290"
"United States","1993","Total Value Added","6814639370500"
"United States","1992","Agriculture, hunting, forestry, fishing (ISIC A-B)","93312461538"
"United States","1992","Mining, Manufacturing, Utilities (ISIC C-E)","1324852920746"
"United States","1992","Manufacturing (ISIC D)","1084588141490"
"United States","1992","Construction (ISIC F)","235370313424"
"United States","1992","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","980260438591"
"United States","1992","Transport, storage and communication (ISIC I)","591295643345"
"United States","1992","Other Activities (ISIC J-P)","3271538201592"
"United States","1992","Total Value Added","6496629979236"
"United States","1991","Agriculture, hunting, forestry, fishing (ISIC A-B)","85961076923"
"United States","1991","Mining, Manufacturing, Utilities (ISIC C-E)","1289124630823"
"United States","1991","Manufacturing (ISIC D)","1045996049580"
"United States","1991","Construction (ISIC F)","233663276168"
"United States","1991","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","934784438862"
"United States","1991","Transport, storage and communication (ISIC I)","562201292228"
"United States","1991","Other Activities (ISIC J-P)","3066226054787"
"United States","1991","Total Value Added","6171960769791"
"United States","1990","Agriculture, hunting, forestry, fishing (ISIC A-B)","90472153846"
"United States","1990","Mining, Manufacturing, Utilities (ISIC C-E)","1287949008070"
"United States","1990","Manufacturing (ISIC D)","1043089112786"
"United States","1990","Construction (ISIC F)","249729509166"
"United States","1990","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","900677439066"
"United States","1990","Transport, storage and communication (ISIC I)","529632988739"
"United States","1990","Other Activities (ISIC J-P)","2899432312882"
"United States","1990","Total Value Added","5957893411770"
"United States","1989","Agriculture, hunting, forestry, fishing (ISIC A-B)","85209230769"
"United States","1989","Mining, Manufacturing, Utilities (ISIC C-E)","1247145258935"
"United States","1989","Manufacturing (ISIC D)","1020134336039"
"United States","1989","Construction (ISIC F)","246817504435"
"United States","1989","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","870269875755"
"United States","1989","Transport, storage and communication (ISIC I)","505460070150"
"United States","1989","Other Activities (ISIC J-P)","2690146379720"
"United States","1989","Total Value Added","5645048319765"
"United States","1988","Agriculture, hunting, forestry, fishing (ISIC A-B)","74432769231"
"United States","1988","Mining, Manufacturing, Utilities (ISIC C-E)","1199662997170"
"United States","1988","Manufacturing (ISIC D)","982243918527"
"United States","1988","Construction (ISIC F)","238181904199"
"United States","1988","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","820553058592"
"United States","1988","Transport, storage and communication (ISIC I)","491274764630"
"United States","1988","Other Activities (ISIC J-P)","2490729550645"
"United States","1988","Total Value Added","5314835044466"
"United States","1987","Agriculture, hunting, forestry, fishing (ISIC A-B)","74265692308"
"United States","1987","Mining, Manufacturing, Utilities (ISIC C-E)","1097755401561"
"United States","1987","Manufacturing (ISIC D)","890725529139"
"United States","1987","Construction (ISIC F)","220207806032"
"United States","1987","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","753151130423"
"United States","1987","Transport, storage and communication (ISIC I)","461456673435"
"United States","1987","Other Activities (ISIC J-P)","2284969803170"
"United States","1987","Total Value Added","4891806506929"
"United States","1986","Agriculture, hunting, forestry, fishing (ISIC A-B)","68902058974"
"United States","1986","Mining, Manufacturing, Utilities (ISIC C-E)","1033142100385"
"United States","1986","Manufacturing (ISIC D)","834676304724"
"United States","1986","Construction (ISIC F)","210293948462"
"United States","1986","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","724392122958"
"United States","1986","Transport, storage and communication (ISIC I)","428923249598"
"United States","1986","Other Activities (ISIC J-P)","2096661660067"
"United States","1986","Total Value Added","4562315140443"
